id,title,country,points,price,province,variety,winery,Lat,Lng
17479,Boeckel 2013 Blanc de Blancs Pinot Blanc (CrÃƒÆ’Ã‚Â©mant d'Alsace),France,91,20.00,Alsace,Pinot Blanc,Boeckel,48.3960993,7.4415794
23408,Ron Rubin 2015 Dutton Ranch Shop Block Cool Climate Pinot Blanc (Green Valley),US,91,30.00,California,Pinot Blanc,Ron Rubin,38.4584095,-122.8821097
24059,J Wilkes 2015 Pinot Blanc (Santa Maria Valley),US,91,18.00,California,Pinot Blanc,J Wilkes,34.412764,-119.6903388
16328,David Hill 2013 Estate Pinot Blanc (Willamette Valley),US,91,22.00,Oregon,Pinot Blanc,David Hill,38.236718,-122.0859448
24134,The Four Graces 2015 Pinot Blanc (Willamette Valley),US,91,24.00,Oregon,Pinot Blanc,The Four Graces,45.2857836,-123.0047975
6548,Terredora Di Paolo 2009 Fatica Contadina (Taurasi),Italy,94,34.00,Southern Italy,Aglianico,Terredora Di Paolo,41.0266859,14.8824782
3718,Mastroberardino 2007 Radici (Taurasi),Italy,94,60.00,Southern Italy,Aglianico,Mastroberardino,40.9207406,14.8170682
6170,Contrade di Taurasi - Lonardo 2009 Vigne d'Alto (Taurasi),Italy,94,70.00,Southern Italy,Aglianico,Contrade di Taurasi - Lonardo,41.007938,14.957157
911,Antonio Caggiano 2004 Vigna Macchia dei Goti (Taurasi),Italy,94,60.00,Southern Italy,Aglianico,Antonio Caggiano,41.0062298,14.9580942
574,Mastroberardino 2001 Naturalis Historia Aglianico (Irpinia),Italy,93,65.00,Southern Italy,Aglianico,Mastroberardino,40.9207406,14.8170682
3790,Mastroberardino 2007 Naturalis Historia (Taurasi),Italy,93,90.00,Southern Italy,Aglianico,Mastroberardino,40.9207406,14.8170682
11625,Villa Matilde 2011 Tenute di Altavilla (Taurasi),Italy,92,,Southern Italy,Aglianico,Villa Matilde,15.5554139,-88.016129
3484,Donnachiara 2007 Riserva (Taurasi),Italy,92,60.00,Southern Italy,Aglianico,Donnachiara,40.9556347,14.8781015
1785,Villa Matilde 2005 Tenuta di Altavilla (Taurasi),Italy,92,,Southern Italy,Aglianico,Villa Matilde,15.5554139,-88.016129
12864,Contrade di Taurasi - Lonardo 2011 Taurasi,Italy,92,,Southern Italy,Aglianico,Contrade di Taurasi - Lonardo,41.007938,14.957157
23818,I Stefanini 2015 Monte di Fice (Soave Classico),Italy,93,20.00,Veneto,Garganega,I Stefanini,45.4506159,11.2985097
1920,Cantina di Soave 2005 Rocca Sveva Mida (Recioto di Soave Classico),Italy,92,,Veneto,Garganega,Cantina di Soave,45.4139675,11.2476507
17542,Gini 2013 Salvarenza Vecchie Vigne (Soave Classico),Italy,90,38.00,Veneto,Garganega,Gini,37.90873,-122.066555
13067,Suavia 2012 Soave Classico,Italy,90,19.00,Veneto,Garganega,Suavia,45.45273,11.2549
10290,Roccolo Grassi 2010 La Broia (Soave),Italy,90,20.00,Veneto,Garganega,Roccolo Grassi,45.4767965,11.1298138
5809,Suavia 2008 Le Rive (Soave Classico),Italy,90,45.00,Veneto,Garganega,Suavia,45.45273,11.2549
5814,Collis Veneto Wine Group 2008 Cantina di Colognola Acinatico 500ml (Recioto di Soave),Italy,89,,Veneto,Garganega,Collis Veneto Wine Group,45.4007956,11.2644485
23903,Le Mandolare 2015 Il Roccolo (Soave Classico),Italy,89,,Veneto,Garganega,Le Mandolare,45.450067,11.276942
3910,Suavia 2007 Le Rive (Soave Classico),Italy,89,44.00,Veneto,Garganega,Suavia,45.45273,11.2549
5475,Fattori 2008 Motto Piane (Soave),Italy,89,18.00,Veneto,Garganega,Fattori,45.4406987,10.4077595
8957,Di Majo Norante 2010 Apianae Moscato (Molise),Italy,93,,Southern Italy,Moscato,Di Majo Norante,41.9110781,15.099341
9899,Planeta 2010 Passito di Noto,Italy,92,41.00,Sicily & Sardinia,Moscato,Planeta,36.7447476,15.0151456
4164,EOS 2007 Tears of Dew Late Harvest Moscato (Paso Robles),US,91,22.00,California,Moscato,EOS,37.8096175,-122.2497596
1356,Contratto 2005 De Miranda Moscato (Asti),Italy,90,90.00,Piedmont,Moscato,Contratto,47.0409082,8.5491574
7118,Benanti 2009 Il Musico Moscato (Sicilia),Italy,90,26.00,Sicily & Sardinia,Moscato,Benanti,37.6159076,15.0989978
8295,Maculan 2010 Dindarello Moscato (Veneto),Italy,90,19.00,Veneto,Moscato,Maculan,45.7083304,11.5622593
15086,Quady 2012 Electra Moscato (California),US,90,14.00,California,Moscato,Quady,36.939921,-120.1069484
24160,Scagliola 2015 Primo Bacio (Moscato d'Asti),Italy,90,20.00,Piedmont,Moscato,Scagliola,-34.5993437,-58.5881585
3745,Villa Schinosa 2007 Moscato di Trani,Italy,90,,Southern Italy,Moscato,Villa Schinosa,41.246321,16.413113
1476,Marenco 2005 Passri' di Scrapona Moscato (Strevi),Italy,89,60.00,Piedmont,Moscato,Marenco,37.279279,-121.9497772
13434,Morgante 2012 Don Antonio Nero d'Avola (Sicilia),Italy,92,42.00,Sicily & Sardinia,Nero d'Avola,Morgante,-34.5926623,-58.3870951
20531,Feudo Principi di Butera 2014 Deliella Nero d'Avola (Sicilia),Italy,92,90.00,Sicily & Sardinia,Nero d'Avola,Feudo Principi di Butera,37.2171809,14.0626847
1249,Planeta 2005 Santa Cecilia Nero d'Avola (Sicilia),Italy,91,39.00,Sicily & Sardinia,Nero d'Avola,Planeta,36.7447476,15.0151456
2462,Feudo Maccari 2006 Saia Nero d'Avola (Sicilia),Italy,90,30.00,Sicily & Sardinia,Nero d'Avola,Feudo Maccari,36.7686156,15.0752471
11144,Spadafora 2011 Schietto Nero d'Avola (Sicilia),Italy,90,39.00,Sicily & Sardinia,Nero d'Avola,Spadafora,38.2227337,15.3793585
1657,Benanti 2005 Il Drappo Nero d'Avola (Sicilia),Italy,90,40.00,Sicily & Sardinia,Nero d'Avola,Benanti,37.6159076,15.0989978
5376,Benanti 2008 Il Drappo Nero d'Avola (Sicilia),Italy,90,40.00,Sicily & Sardinia,Nero d'Avola,Benanti,37.6159076,15.0989978
20164,Tonnino 2014 Nero d'Avola (Terre Siciliane),Italy,89,22.00,Sicily & Sardinia,Nero d'Avola,Tonnino,37.9738582,12.9646346
12848,Valle dell'Acate 2011 Il Moro Nero d'Avola (Sicilia),Italy,89,27.00,Sicily & Sardinia,Nero d'Avola,Valle dell'Acate,37.053829,14.522839
10998,Morgante 2011 Don Antonio Nero d'Avola (Sicilia),Italy,89,42.00,Sicily & Sardinia,Nero d'Avola,Morgante,-34.5926623,-58.3870951
18382,Mongarda 2013 Dosaggio Zero (Valdobbiadene Prosecco Superiore),Italy,93,24.00,Veneto,Glera,Mongarda,45.8972587,12.0876581
22626,Nino Franco 2015 Nodi Brut (Valdobbiadene Prosecco Superiore),Italy,93,49.00,Veneto,Glera,Nino Franco,45.8973734,11.9908643
15693,Nino Franco 2012 Grave di Stecca Brut Glera (Vino Spumante),Italy,93,49.00,Italy Other,Glera,Nino Franco,45.8973734,11.9908643
24347,Nino Franco 2016 Vigneto della Riva di San Floriano Brut (Valdobbiadene Prosecco Superiore),Italy,93,29.00,Veneto,Glera,Nino Franco,45.8973734,11.9908643
20103,Terre di San Venanzio Fortunato 2014 Demi Long (Valdobbiadene Prosecco Superiore),Italy,92,22.00,Veneto,Glera,Terre di San Venanzio Fortunato,45.88469,12.007391
16938,Ca' dei Zago 2013 Dosaggio Zero (Valdobbiadene Prosecco Superiore),Italy,92,30.00,Veneto,Glera,Ca' dei Zago,45.9006033,12.0167902
24286,Pizzolato 2016 Fields Brut (Prosecco),Italy,91,13.00,Veneto,Glera,Pizzolato,-34.4235614,-58.692323
24714,Bisol 2016 Dry (Valdobbiadene Superiore di Cartizze),Italy,91,45.00,Veneto,Glera,Bisol,45.7503047,12.2238993
21155,Ruggeri & C. 2014 Giustino B. Extra Dry (Valdobbiadene Prosecco Superiore),Italy,91,32.00,Veneto,Glera,Ruggeri & C.,45.8799883,12.002715
17583,Marchiori 2013 Fondamentale Zulle Glera (Colli Trevigiani),Italy,91,15.00,Northeastern Italy,Glera,Marchiori,42.4514052,-82.8900677
20622,Terroir Al Limit 2014 Les Manyes Garnacha (Priorat),Spain,95,290.00,Catalonia,Garnacha,Terroir Al Limit,41.2134073,0.8088812
17688,Alto Moncayo 2013 Garnacha (Campo de Borja),Spain,92,50.00,Northern Spain,Garnacha,Alto Moncayo,41.842317,-1.5459435
10011,Bodegas Ateca 2010 Atteca Old Vines Garnacha (Calatayud),Spain,91,16.00,Northern Spain,Garnacha,Bodegas Ateca,41.3245039,-1.7822347
22645,Casa Castillo 2015 El Molar Garnacha (Jumilla),Spain,90,19.00,Levante,Garnacha,Casa Castillo,38.3940578,-122.3647611
4137,Dinastía Vivanco 2007 Coleccion Vivanco Parcelas de Garnacha (Rioja),Spain,90,95.00,Northern Spain,Garnacha,Dinastía Vivanco,42.5394299,-2.7797597
11803,Vivanco 2011 Coleccion (Rioja),Spain,89,80.00,Northern Spain,Garnacha,Vivanco,37.7963187,-122.402347
22987,Algairen 2015 Garnacha (Cariñena),Spain,89,18.00,Northern Spain,Garnacha,Algairen,41.2908333,-1.32
12423,Vivanco 2011 Coleccion (Rioja),Spain,89,80.00,Northern Spain,Garnacha,Vivanco,37.7963187,-122.402347
8925,Viñedos y Bodegas Pablo 2010 Menguante Garnacha (Cariñena),Spain,88,16.00,Northern Spain,Garnacha,Viñedos y Bodegas Pablo,41.3978275,-1.3231066
11402,Cruz de Piedra 2011 Garnacha (Calatayud),Spain,88,10.00,Northern Spain,Garnacha,Cruz de Piedra,-33.0315547,-68.7758279
14445,Tamarack Cellars 2012 Dionysus Vineyard Petit Verdot (Columbia Valley (WA)),US,94,30.00,Washington,Petit Verdot,Tamarack Cellars,46.0913232,-118.2721807
16696,Boeschen Vineyards 2013 Estate Petit Verdot (Napa Valley),US,94,95.00,California,Petit Verdot,Boeschen Vineyards,38.5383726,-122.4894583
16802,B. Leighton 2013 Olsen Brothers Vineyard Petit Verdot (Yakima Valley),US,94,55.00,Washington,Petit Verdot,B. Leighton,46.0681849,-118.3370951
